set,index,k,QQ,xB,t,phi,F,errF,varF,ReH,ReE,ReHtilde,dvcs,F_true
5,11,5.75,1.999,0.381,-0.371,172.5,0.0129089,0.0028326,0.21943,2.0696,-0.755719,-0.228339,0.0184224,0.0220089
5,12,5.75,1.999,0.381,-0.371,187.5,0.0237834,0.0044551,0.18732,2.0696,-0.755719,-0.228339,0.0184224,0.0220089
5,13,5.75,1.999,0.381,-0.371,202.5,0.0149591,0.00239899,0.16037,2.0696,-0.755719,-0.228339,0.0184224,0.0223235
5,14,5.75,1.999,0.381,-0.371,217.5,0.0262492,0.00309058,0.11774,2.0696,-0.755719,-0.228339,0.0184224,0.0230147
5,15,5.75,1.999,0.381,-0.371,232.5,0.0243789,0.00320193,0.13134,2.0696,-0.755719,-0.228339,0.0184224,0.0242222
5,16,5.75,1.999,0.381,-0.371,247.5,0.0244139,0.00296385,0.1214,2.0696,-0.755719,-0.228339,0.0184224,0.0261971
5,17,5.75,1.999,0.381,-0.371,262.5,0.0339165,0.00487651,0.14378,2.0696,-0.755719,-0.228339,0.0184224,0.0293602
5,18,5.75,1.999,0.381,-0.371,277.5,0.0399901,0.00531148,0.13282,2.0696,-0.755719,-0.228339,0.0184224,0.0343825
5,19,5.75,1.999,0.381,-0.371,292.5,0.0414944,0.00586772,0.14141,2.0696,-0.755719,-0.228339,0.0184224,0.0422535
5,20,5.75,1.999,0.381,-0.371,307.5,0.0465755,0.00677953,0.14556,2.0696,-0.755719,-0.228339,0.0184224,0.0541697
5,21,5.75,1.999,0.381,-0.371,322.5,0.0659188,0.0113861,0.17273,2.0696,-0.755719,-0.228339,0.0184224,0.0707571
5,22,5.75,1.999,0.381,-0.371,337.5,0.0796886,0.0174637,0.21915,2.0696,-0.755719,-0.228339,0.0184224,0.0898655
5,23,5.75,1.999,0.381,-0.371,352.5,0.0882035,0.0206352,0.23395,2.0696,-0.755719,-0.228339,0.0184224,0.104004
6,0,5.75,2.218,0.345,-0.176,7.5,0.155198,0.00642828,0.04142,2.43034,-0.566908,-0.392521,0.0286815,0.156712
6,1,5.75,2.218,0.345,-0.176,22.5,0.147114,0.00585221,0.03978,2.43034,-0.566908,-0.392521,0.0286815,0.149756
6,2,5.75,2.218,0.345,-0.176,37.5,0.129919,0.00528511,0.04068,2.43034,-0.566908,-0.392521,0.0286815,0.137613
6,3,5.75,2.218,0.345,-0.176,52.5,0.120538,0.00507588,0.04211,2.43034,-0.566908,-0.392521,0.0286815,0.122888
6,4,5.75,2.218,0.345,-0.176,67.5,0.101904,0.00461728,0.04531,2.43034,-0.566908,-0.392521,0.0286815,0.10795
6,5,5.75,2.218,0.345,-0.176,82.5,0.0907597,0.00417767,0.04603,2.43034,-0.566908,-0.392521,0.0286815,0.0943742
6,6,5.75,2.218,0.345,-0.176,97.5,0.0895384,0.00475449,0.0531,2.43034,-0.566908,-0.392521,0.0286815,0.082924
6,7,5.75,2.218,0.345,-0.176,112.5,0.0825376,0.00408974,0.04955,2.43034,-0.566908,-0.392521,0.0286815,0.0737956
6,8,5.75,2.218,0.345,-0.176,127.5,0.0656155,0.00353536,0.05388,2.43034,-0.566908,-0.392521,0.0286815,0.066883
6,9,5.75,2.218,0.345,-0.176,142.5,0.0579566,0.00310763,0.05362,2.43034,-0.566908,-0.392521,0.0286815,0.0619678
6,10,5.75,2.218,0.345,-0.176,157.5,0.0570248,0.00332968,0.05839,2.43034,-0.566908,-0.392521,0.0286815,0.0588303
6,11,5.75,2.218,0.345,-0.176,172.5,0.0601481,0.00346994,0.05769,2.43034,-0.566908,-0.392521,0.0286815,0.057305
6,12,5.75,2.218,0.345,-0.176,187.5,0.0604033,0.00357708,0.05922,2.43034,-0.566908,-0.392521,0.0286815,0.057305
6,13,5.75,2.218,0.345,-0.176,202.5,0.0528364,0.00293083,0.05547,2.43034,-0.566908,-0.392521,0.0286815,0.0588303
6,14,5.75,2.218,0.345,-0.176,217.5,0.0649303,0.00361207,0.05563,2.43034,-0.566908,-0.392521,0.0286815,0.0619678
6,15,5.75,2.218,0.345,-0.176,232.5,0.0703174,0.00361853,0.05146,2.43034,-0.566908,-0.392521,0.0286815,0.066883
6,16,5.75,2.218,0.345,-0.176,247.5,0.074464,0.00385574,0.05178,2.43034,-0.566908,-0.392521,0.0286815,0.0737956
6,17,5.75,2.218,0.345,-0.176,262.5,0.0873199,0.00421144,0.04823,2.43034,-0.566908,-0.392521,0.0286815,0.082924
6,18,5.75,2.218,0.345,-0.176,277.5,0.0915748,0.004239,0.04629,2.43034,-0.566908,-0.392521,0.0286815,0.0943742
6,19,5.75,2.218,0.345,-0.176,292.5,0.102926,0.00447216,0.04345,2.43034,-0.566908,-0.392521,0.0286815,0.10795
6,20,5.75,2.218,0.345,-0.176,307.5,0.125772,0.00535286,0.04256,2.43034,-0.566908,-0.392521,0.0286815,0.122888
6,21,5.75,2.218,0.345,-0.176,322.5,0.137131,0.00557576,0.04066,2.43034,-0.566908,-0.392521,0.0286815,0.137613
6,22,5.75,2.218,0.345,-0.176,337.5,0.146971,0.00622277,0.04234,2.43034,-0.566908,-0.392521,0.0286815,0.149756
6,23,5.75,2.218,0.345,-0.176,352.5,0.157376,0.00689464,0.04381,2.43034,-0.566908,-0.392521,0.0286815,0.156712
7,0,5.75,2.318,0.363,-0.232,7.5,0.132424,0.00692578,0.0523,2.25764,-0.651402,-0.344277,0.0250925,0.127993
7,1,5.75,2.318,0.363,-0.232,22.5,0.131062,0.00643906,0.04913,2.25764,-0.651402,-0.344277,0.0250925,0.119795
7,2,5.75,2.318,0.363,-0.232,37.5,0.105159,0.00536944,0.05106,2.25764,-0.651402,-0.344277,0.0250925,0.106333
7,3,5.75,2.318,0.363,-0.232,52.5,0.0957564,0.00513637,0.05364,2.25764,-0.651402,-0.344277,0.0250925,0.0913532
7,4,5.75,2.318,0.363,-0.232,67.5,0.0785097,0.00440754,0.05614,2.25764,-0.651402,-0.344277,0.0250925,0.0775386
7,5,5.75,2.318,0.363,-0.232,82.5,0.0682195,0.00388988,0.05702,2.25764,-0.651402,-0.344277,0.0250925,0.0661006
7,6,5.75,2.318,0.363,-0.232,97.5,0.0570802,0.0032159,0.05634,2.25764,-0.651402,-0.344277,0.0250925,0.0572338
7,7,5.75,2.318,0.363,-0.232,112.5,0.051469,0.00314939,0.06119,2.25764,-0.651402,-0.344277,0.0250925,0.0506587
7,8,5.75,2.318,0.363,-0.232,127.5,0.0451605,0.00264731,0.05862,2.25764,-0.651402,-0.344277,0.0250925,0.0459665
7,9,5.75,2.318,0.363,-0.232,142.5,0.0415056,0.00280619,0.06761,2.25764,-0.651402,-0.344277,0.0250925,0.0427803
7,10,5.75,2.318,0.363,-0.232,157.5,0.0411152,0.0025549,0.06214,2.25764,-0.651402,-0.344277,0.0250925,0.0408121
7,11,5.75,2.318,0.363,-0.232,172.5,0.0374886,0.0026257,0.07004,2.25764,-0.651402,-0.344277,0.0250925,0.039874
